60.0,30,0,0,0,0,0,0,0,1374,0.5,0.18333333333333332,41.850000000000001,1141.0636438000004,3.40000000000155e-06,0.0
19.375155,-,[127],0,rejected,no,187,0
19.416822,-,[419],0,rejected,no,189,0
19.458489,-,[38],0,rejected,no,191,0
19.500156,-,[1451],0,rejected,no,192,0
19.541823,-,[750],0,rejected,no,196,0
19.58349,-,[1435],0,rejected,no,197,0
19.625157,-,[113],0,rejected,no,199,0
19.666824,-,[528],0,rejected,no,201,0
19.708491,-,[1463],0,rejected,no,202,0
19.750158,-,[1349],0,rejected,no,203,0
19.791825,-,[393],0,rejected,no,205,0
19.833492,-,[367],0,rejected,no,207,0
19.875159,-,[41],0,rejected,no,209,0
19.916826,-,[333],0,rejected,no,211,0
19.958493,-,[9],0,rejected,no,213,0
20.00016,-,[60],0,rejected,no,215,0
20.041827,-,[616],0,rejected,no,219,0
20.083494,-,[1329],0,rejected,no,220,0
20.125161,-,[1358],0,rejected,no,221,0
20.166828,-,[279],0,rejected,no,223,0
20.208495,-,[1276],0,rejected,no,224,0
20.250162,-,[1308],0,rejected,no,225,0
20.291829,-,[760],0,rejected,no,227,0
20.333496,-,[1214],0,rejected,no,228,0
20.375163,-,[1392],0,rejected,no,229,0
20.41683,-,[458],0,rejected,no,231,0
20.458497,-,[34],0,rejected,no,233,0
20.500164,-,[1441],0,rejected,no,234,0
20.541831,-,[774],0,rejected,no,238,0
20.583498,-,[157],0,rejected,no,240,0
20.625165,-,[109],0,rejected,no,242,0
20.666832,-,[624],0,rejected,no,244,0
20.708499,-,[32],0,rejected,no,246,0
20.750166,-,[178],0,rejected,no,248,0
20.791833,-,[802],0,accepted,no,250,0
20.8335,-,[1342],0,rejected,no,2,0
20.875167,-,[85],0,rejected,no,3,0
20.916834,-,[337],0,rejected,no,5,0
20.958501,-,[68],0,rejected,no,7,0
21.000168,-,[1265],0,rejected,no,8,0
21.041835,-,[667],0,rejected,no,12,0
21.083502,-,[1138],0,rejected,no,13,0
21.125169,-,[1240],0,rejected,no,14,0
21.166836,-,[241],0,rejected,no,16,0
21.208503,-,[1312],0,rejected,no,17,0
21.25017,-,[1467],0,rejected,no,18,0
21.291837,-,[465],0,rejected,no,20,0
21.333504,-,[1383],0,rejected,no,21,0
21.375171,-,[1404],0,rejected,no,22,0
21.416838,-,[544],0,rejected,no,24,0
21.458505,-,[1350],0,rejected,no,25,0
21.500172,-,[217],0,rejected,no,27,0
21.541839,-,[593],0,rejected,no,31,0
21.583506,-,[88],0,rejected,no,33,0
21.625173,-,[40],0,rejected,no,35,0
21.66684,-,[527],0,rejected,no,37,0
21.708507,-,[1321],0,rejected,no,38,0
21.750174,-,[1475],0,rejected,no,39,0
21.791841,-,[538],0,rejected,no,41,0
21.833508,-,[1366],0,rejected,no,42,0
21.875175,-,[1417],0,rejected,no,43,0
21.916842,-,[446],0,rejected,no,45,0
21.958509,-,[1315],0,rejected,no,46,0
22.000176,-,[1322],0,rejected,no,47,0
22.041843,-,[618],0,rejected,no,51,0
22.08351,-,[1295],0,rejected,no,52,0
22.125177,-,[1374],0,rejected,no,53,0
22.166844,-,[468],0,rejected,no,55,0
22.208511,-,[1428],0,rejected,no,56,0
22.250178,-,[1468],0,rejected,no,57,0
22.291845,-,[333],0,rejected,no,59,0
22.333512,-,[1448],0,rejected,no,60,0
22.375179,-,[1454],0,rejected,no,61,0
22.416846,-,[332],0,rejected,no,63,0
22.458513,-,[1111],0,rejected,no,64,0
22.50018,-,[1288],0,rejected,no,65,0
22.541847,-,[536],0,rejected,no,69,0
22.583514,-,[1493],0,rejected,no,70,0
22.625181,-,[1470],0,rejected,no,71,0
22.666848,-,[196],0,rejected,no,73,0
22.708515,-,[34],0,rejected,no,75,0
22.750182,-,[1442],0,rejected,no,76,0
22.791849,-,[351],0,rejected,no,78,0
22.833516,-,[207],0,rejected,no,80,0
22.875183,-,[127],0,rejected,no,82,0
22.91685,-,[186],0,rejected,no,84,0
22.958517,-,[72],0,rejected,no,86,0
23.000184,-,[1367],0,rejected,no,87,0
23.041851,-,[644],0,rejected,no,91,0
23.083518,-,[145],0,rejected,no,93,0
23.125185,-,[638],0,rejected,no,95,0
23.166852,-,[1477],0,rejected,no,99,0
23.208519,-,[166],0,rejected,no,101,0
23.250186,-,[198],0,rejected,no,103,0
23.291853,-,[845],0,rejected,no,105,0
23.33352,-,[213],0,rejected,no,107,0
23.375187,-,[208],0,rejected,no,109,0
23.416854,-,[901],0,rejected,no,111,0
23.458521,-,[180],0,rejected,no,113,0
23.500188,-,[273],0,rejected,no,115,0
23.541855,-,[759],0,rejected,no,119,0
23.583522,-,[300],0,rejected,no,121,0
23.625189,-,[182],0,rejected,no,123,0
23.666856,-,[867],0,rejected,no,125,0
23.708523,-,[109],0,rejected,no,127,0
23.75019,-,[138],0,rejected,no,129,0
23.791857,-,[693],0,rejected,no,131,0
23.833524,-,[27],0,rejected,no,133,0
23.875191,-,[84],0,rejected,no,135,0
23.916858,-,[680],0,rejected,no,137,0
23.958525,-,[1431],0,rejected,no,138,0
24.000192,-,[91],0,rejected,no,140,0
24.041859,-,[609],0,rejected,no,144,0
24.083526,-,[63],0,rejected,no,146,0
24.125193,-,[108],0,rejected,no,148,0
24.16686,-,[606],0,rejected,no,150,0
24.208527,-,[48],0,rejected,no,152,0
24.250194,-,[247],0,rejected,no,154,0
24.291861,-,[583],0,rejected,no,156,0
24.333528,-,[1248],0,rejected,no,157,0
24.375195,-,[1314],0,rejected,no,158,0
24.416862,-,[555],0,rejected,no,160,0
24.458529,-,[1420],0,rejected,no,161,0
24.500196,-,[1304],0,rejected,no,162,0
24.541863,-,[812],0,rejected,no,166,0
24.58353,-,[1373],0,rejected,no,167,0
24.625197,-,[81],0,rejected,no,169,0
24.666864,-,[401],0,rejected,no,171,0
24.708531,-,[108],0,rejected,no,173,0
24.750198,-,[28],0,rejected,no,175,0
24.791865,-,[551],0,rejected,no,177,0
24.833532,-,[1408],0,rejected,no,178,0
24.875199,-,[1363],0,rejected,no,179,0
24.916866,-,[388],0,rejected,no,181,0
24.958533,-,[1206],0,rejected,no,182,0
25.0002,-,[1236],0,rejected,no,183,0
25.041867,-,[646],0,rejected,no,187,0
25.083534,-,[1447],0,rejected,no,188,0
25.125201,-,[1403],0,rejected,no,189,0
25.166868,-,[630],0,rejected,no,191,0
25.208535,-,[1337],0,rejected,no,192,0
25.250202,-,[64],0,rejected,no,194,0
25.291869,-,[640],0,rejected,no,196,0
25.333536,-,[1471],0,rejected,no,197,0
25.375203,-,[13],0,rejected,no,199,0
25.41687,-,[197],0,rejected,no,201,0
25.458537,-,[1493],0,rejected,no,202,0
25.500204,-,[1419],0,rejected,no,203,0
25.541871,-,[750],0,rejected,no,207,0
25.583538,-,[182],0,rejected,no,209,0
25.625205,-,[355],0,rejected,no,211,0
25.666872,-,[715],0,rejected,no,213,0
25.708539,-,[128],0,rejected,no,215,0
25.750206,-,[57],0,rejected,no,217,0
25.791873,-,[484],0,rejected,no,219,0
25.83354,-,[36],0,rejected,no,221,0
25.875207,-,[79],0,rejected,no,223,0
25.916874,-,[746],0,rejected,no,225,0
25.958541,-,[1481],0,rejected,no,226,0
26.000208,-,[1312],0,rejected,no,227,0
26.041875,-,[765],0,rejected,no,231,0
26.083542,-,[1401],0,rejected,no,232,0
26.125209,-,[1482],0,rejected,no,233,0
26.166876,-,[459],0,rejected,no,235,0
26.208543,-,[1414],0,rejected,no,236,0
26.25021,-,[109],0,rejected,no,238,0
26.291877,-,[224],0,rejected,no,240,0
26.333544,-,[162],0,rejected,no,242,0
26.375211,-,[165],0,rejected,no,244,0
26.416878,-,[778],0,rejected,no,246,0
26.458545,-,[144],0,rejected,no,248,0
26.500212,-,[1390],0,rejected,no,249,0
26.541879,-,[720],0,accepted,no,253,0
